user_id,device_id_match,geo_distance_km,request_hour,days_since_last_request,recent_profile_change,failed_login_count_24h,new_device_flag,otp_request_count_1h,account_age_days,impossible_travel_flag,vpn_proxy_detected,repeated_request_10min,sim_swap_history_count,ip_risk_score,behavioral_risk_score,label,hour,day,month,weekday
46703,0,5.84,23,16,0,2,0,1,630,0,0,0,0,19,15,0,1,27,7,6
86552,0,29.76,10,19,0,0,0,0,282,0,0,0,0,24,15,0,10,22,5,3
90829,1,59.35,12,21,0,0,1,4,1043,0,0,1,0,29,30,1,23,6,10,0
96916,1,750.54,19,12,0,2,1,0,1731,0,1,0,1,18,40,0,12,24,7,3
60619,1,74.58,2,15,0,1,0,3,859,0,0,0,1,16,0,0,15,15,7,1
31128,1,816.82,16,17,0,1,0,2,899,0,0,0,2,4,25,0,21,28,8,3
39098,0,59.56,9,16,0,2,0,2,1534,0,0,0,1,25,15,0,13,3,7,3
78355,1,38.46,18,17,0,1,0,3,1921,0,0,0,0,24,0,0,17,14,10,1
44823,1,84.04,16,21,0,1,0,0,2027,0,0,1,0,36,30,0,15,30,3,6
20222,1,0.92,3,16,1,0,0,3,1681,0,0,0,0,22,10,0,6,2,4,2
42491,0,718.88,7,10,0,1,0,1,1045,0,0,0,0,36,40,0,15,1,6,6
24894,1,49.88,19,19,0,3,0,2,1510,0,0,0,1,34,0,0,15,21,12,6
38288,1,11.93,12,20,0,1,0,4,844,0,0,0,0,21,0,0,8,21,5,2
16488,1,26.58,8,11,0,4,1,1,179,0,0,0,0,26,25,0,1,7,6,5
48507,1,38.25,13,15,0,0,0,0,737,0,0,0,0,6,0,0,11,3,9,2
27550,1,78.93,8,13,0,2,0,4,1155,0,0,0,0,37,10,0,1,1,5,3
19133,0,25.22,11,13,0,6,0,2,1253,0,0,0,1,7,30,0,4,25,4,4
87638,1,93.32,14,19,0,1,0,5,927,0,0,0,0,17,20,0,17,31,5,5
80873,1,19.15,15,20,0,3,1,3,858,0,0,0,0,27,10,0,18,29,8,4
37790,1,6.67,9,18,0,2,1,3,1249,0,0,0,0,27,10,0,2,22,3,5
84631,1,21.42,8,18,0,3,0,2,1894,0,0,0,0,16,0,0,23,8,9,0
97800,1,69.81,14,13,0,2,0,0,1862,0,0,0,0,26,0,0,12,5,12,4
50290,1,58.14,19,19,0,0,1,1,2136,0,0,0,1,2,10,0,20,10,5,5
18361,1,1.56,15,14,0,0,0,2,434,0,0,0,0,24,0,0,14,6,8,2
39719,1,85.05,17,19,0,0,0,1,956,0,0,0,1,38,10,0,7,28,2,4
82942,1,47.08,13,17,1,1,0,1,1506,0,0,1,1,33,30,0,11,8,5,3
20144,1,61.81,15,19,0,7,0,0,1492,0,0,0,1,41,25,0,14,30,11,6
71861,1,22.97,12,13,0,4,0,6,1835,0,0,0,1,23,35,0,14,20,11,3
53234,1,36.14,10,22,1,2,0,2,1055,0,0,0,1,44,20,0,11,25,2,1
38814,1,33.86,12,16,0,2,1,1,2038,0,0,0,0,6,10,0,2,4,4,4
97412,1,868.0,15,12,0,0,0,1,1013,0,0,0,1,27,15,0,7,4,12,3
53471,1,88.22,8,20,0,1,0,2,2113,0,0,0,1,3,0,0,0,14,10,1
35551,1,36.83,23,19,0,1,1,1,1055,0,1,0,0,21,25,0,17,11,9,3
58243,1,40.02,9,26,0,1,0,1,732,0,0,0,1,38,10,0,23,6,7,6
26834,1,12.38,19,21,0,4,0,1,2334,0,0,0,1,39,25,0,2,27,3,3
71631,0,55.92,7,20,0,1,0,0,1955,0,0,0,0,21,15,0,20,13,6,4
91670,0,35.54,18,16,0,1,1,2,580,0,0,0,0,6,25,0,23,19,8,1
92886,1,74.98,17,20,0,1,1,2,1181,0,0,0,0,34,10,0,7,20,9,5
94139,0,91.67,4,9,0,3,0,3,968,0,0,0,0,36,25,0,6,27,6,4
69245,1,1200.81,15,19,0,5,0,1,785,0,0,0,1,19,30,0,18,16,3,6
23035,1,58.33,11,15,1,2,0,4,880,0,0,0,0,27,10,0,17,11,10,5
18705,1,30.23,14,23,0,2,0,4,2136,0,0,0,0,14,0,0,4,1,7,1
82881,1,36.01,20,14,0,3,1,4,909,0,0,0,0,41,20,0,8,7,10,1
65001,0,9.87,12,18,0,8,0,5,1590,0,1,0,0,16,65,0,1,15,4,1
83096,0,71.63,0,23,0,1,0,1,954,0,0,0,0,34,15,0,19,31,12,2
72552,1,18.13,15,20,0,2,0,0,166,0,0,0,1,39,10,0,18,23,2,6
66686,1,83.18,12,22,0,2,1,5,1106,0,0,0,0,25,30,0,19,1,12,0
40858,1,8.38,13,23,0,1,0,1,1225,0,0,0,2,5,10,1,12,27,7,6
80874,1,8.14,5,12,0,0,0,2,998,0,0,0,1,36,10,0,16,4,4,4
46870,0,772.3,10,17,0,1,1,1,1099,0,0,0,0,21,40,0,7,9,10,3
26778,1,56.56,7,15,0,5,0,4,1454,0,0,0,0,8,15,0,14,13,5,1
